prod_name,brand_name,marked_price,discounted_price,rating,rating_count,size,product_link,img_link
Ethnic Embroidered Kurta Set,Anubhutee,2989,986,4.4,23,S,https://www.myntra.com/kurta-sets/anubhutee/anubhutee-women-navy-blue-paisley-floral-embroidery-kurta-set/10942370/buy,
Men Colourblocked PU Sneakers,SPYKAR,,,0,0,UK7,https://www.myntra.com/casual-shoes/spykar/spykar-men-colourblocked-pu-lace-up-sneakers/21899494/buy,
Unisex Comfort Sandals,Crocs,2295,1721,4.4,50,UK4,https://www.myntra.com/sandals/crocs/crocs-classic-unisex-navy-blue-comfort-sandals/16413108/buy,
Men Slim Fit Casual Shirt,Dennis Lingo,1849,610,4.2,2.2,38,https://www.myntra.com/shirts/dennis-lingo/dennis-lingo-men-olive-green-slim-fit-casual-shirt/6714919/buy,
Men Slim-Fit Formal Suit,Louis Philippe,17999,15299,0,0,38,https://www.myntra.com/suits/louis-philippe/louis-philippe-men-blue-solid-slim-fit-single-breasted-formal-suit/15897552/buy,
Women Cotton Printed Kurta,Anouk,1299,779,4,98,XS,https://www.myntra.com/kurtas/anouk/anouk-women-purple--white-pure-cotton-ethnic-motifs-printed-kurta/14925628/buy,
Kurta With Sharara & Dupatta,KALINI,3599,999,4.1,1,M,https://www.myntra.com/kurta-sets/kalini/kalini-women-embroidered-kurta-with-sharara--dupatta/21663204/buy,
Men Jordan Luka 1 Shoes,Nike,,,4.6,,UK7,https://www.myntra.com/sports-shoes/nike/nike-men-jordan-luka-1-basketball-shoes/21252344/buy,
Sustainable Casual Shirt,MANGO,3090,2163,0,0,M,https://www.myntra.com/shirts/mango/mango-women-solid-sustainable-casual-shirt/21537750/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21537750/2023/2/6/44860746-828b-4827-bdcc-ed0b483495921675674863550-MANGO-Women-Solid-Sustainable-Casual-Shirt-6201675674863327-1.jpg"
Men Running Shoes,ASIAN,1249,636,3.9,10,UK10,https://www.myntra.com/sports-shoes/asian/asian-men-white-mesh-running-non-marking-shoes/19604018/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/19604018/2022/8/23/78bdc153-4ee1-4335-824f-bd7f859aee2a1661221932509ASIANMenWhiteMeshRunningNon-MarkingShoes1.jpg"
Printed Trolley Bag,Safari,9045,3049,4.2,2.6,M,https://www.myntra.com/trolley-bag/safari/safari-multi-printed-trolley-bag/10686488/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10686488/2022/11/30/bba44970-4a29-4721-858d-cb7daf92a6711669797509288-Safari-Multi-Printed-Trolley-Bag-4421669797509177-12.jpg"
Floral Screen Print Kurta Set,Indo Era,4999,1649,4.2,8.5,XS,https://www.myntra.com/kurta-sets/indo-era/indo-era-folksy-floral-screen-print-cotton-kurta-set/11459658/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11459658/2020/2/15/9b7f8d3f-e48f-4618-8eac-32cee1a0d4111581757541745-Indo-Era-Maroon-Floral-Printed-A-Line-Kurta-with-Palazzo-Set-1.jpg"
Men 512 Slim Fit Jeans,Levis,5999,2399,4,2,28,https://www.myntra.com/jeans/levis/levis-men-blue-512-slim-tapered-fit-light-fade-stretchable-jeans/18974056/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18974056/2022/10/13/a29fe672-8e4a-4eaf-a3ac-27cedae728721665654775783-Levis-Men-Jeans-3271665654775192-1.jpg"
Women Plus Size Kurta Set,PrettyPlus by Desinoor.com,2995,1797,0,0,XXL,https://www.myntra.com/kurta-sets/prettyplus-by-desinoorcom/prettyplus-by-desinoorcom-women-plus-size-striped-kurta-with-palazzos/21364844/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21364844/2022/12/31/c061bff7-a18f-4ea4-bbfc-1fa5bd153c021672462659804PlusSizeRayonStripedGreyKurtaPalazzoSet1.jpg"
Women Super Skinny Fit High-Rise Jeans,U.S. Polo Assn. Women,2599,1559,4.1,1,28,https://www.myntra.com/jeans/us-polo-assn-women/us-polo-assn-women-super-skinny-fit-high-rise-stretchable-jeans/21381434/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21381434/2023/1/2/e906f5ad-e4a4-4c9a-9da4-e91fd1125f691672639157273USPoloAssnWomenWomenBlackSuperSkinnyFitHigh-RiseStretchableJ1.jpg"
Men Woodspice Body Spray,Marks & Spencer,,,4.2,3,100-150 ML,https://www.myntra.com/perfume-and-body-mist/marks--spencer/marks--spencer-men-woodspice-burgundy-body-spray-150ml/11851670/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11851670/2020/5/14/5554f96a-948c-4fee-a5a2-aed9bffc02331589448431948-Marks--Spencer-3201589448431466-1.jpg"
Solid Round Neck Pure Cotton T-shirt,Roadster,499,199,4.2,1.1,XXL,https://www.myntra.com/tshirts/roadster/the-roadster-lifestyle-co-women-dusty-blue-solid-round-neck-pure-cotton-t-shirt/13594634/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/13594634/2021/4/20/cd3d203a-32ee-4ca0-9f10-0b83b7b825fb1618899453136-Roadster-Women-Tshirts-7651618899452311-1.jpg"
